BEGIN;
BEGIN
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 18
	and p_type like '%NICKEL'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'EUROPE'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'EUROPE'
	)
order by
	s_acctbal desc,
	n_name,
	s_name,
	p_partkey
LIMIT 100;
 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                             s_comment                                             
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+---------------------------------------------------------------------------------------------------
    9999.7 | Supplier#000836396        | ROMANIA                   |  15836395 | Manufacturer#5            | Nkr gSMF3e4                              | 29-579-143-3270 | c accounts. blithely special requests haggle. slyly special ideas thrash furiously
   9999.65 | Supplier#000143654        | FRANCE                    |  14393611 | Manufacturer#4            | HhHCZ,RosE8He4uYvyIDqsPZe,7cZiJh1y9,     | 16-166-504-5864 |  special accounts. never dogged deposits
   9999.28 | Supplier#000494480        | ROMANIA                   |   9494479 | Manufacturer#5            | hNB2qcYmnyeqrd em,o29TxzLwwrl            | 29-756-312-1779 | ly. slyly final pains detect furiously qu
   9999.19 | Supplier#000971576        | ROMANIA                   |  13471549 | Manufacturer#2            | xwqnHyeeNTDL7Rc8H                        | 29-140-197-4818 | ly pending foxes sleep carefull
   9999.12 | Supplier#000656047        | FRANCE                    |  19905989 | Manufacturer#3            | t23kxJeTEnh,vIR0OsGB4hkn                 | 16-630-284-7717 | usual instructions are slyly around the accounts. regular pa
   9998.86 | Supplier#000416005        | GERMANY                   |  16665956 | Manufacturer#1            | Pis4XDdgyNMCEf1PL5WPGdjB9j C,D5          | 17-510-493-4654 | ar foxes cajole furiously final excuses. careful
    9998.8 | Supplier#000830162        | GERMANY                   |   8580153 | Manufacturer#5            | lv9R5c9ZQeu9ti,ywv                       | 17-328-702-3048 | t carefully. slyly bold deposits serve doggedly pending pinto be
   9998.65 | Supplier#000974416        | FRANCE                    |   1474413 | Manufacturer#5            | HR7CTnaD,EAIQb4yhg61GRErhGRicQKXgGK      | 16-293-326-1408 | ular pinto beans. finally special pac
   9998.48 | Supplier#000073838        | FRANCE                    |  13573811 | Manufacturer#3            | m 5KL6JavtSydTzxsVHZtrmD4Ty1q0FtGbNg     | 16-551-165-1784 | to beans are ruthlessly quick packages. requests cajole blithely furiously sp
   9998.38 | Supplier#000945885        | GERMANY                   |   5945884 | Manufacturer#3            | p3R630qLsV                               | 17-514-300-6011 | usual deposits cajole requests. ironic theodolit
   9998.36 | Supplier#000052387        | RUSSIA                    |  18052386 | Manufacturer#2            | LpdenjQxxk5PKWL9J                        | 32-501-422-8682 |  haggle slyly final deposits. slyly unusual theodolites boost bli
   9998.22 | Supplier#000270232        | FRANCE                    |  15520186 | Manufacturer#2            | APooFdPmuFui U9,hFDHGfoSEwPT,d           | 16-519-317-1679 | tions. slyly unusual instructions above the sl
   9998.01 | Supplier#000253653        | FRANCE                    |   6503634 | Manufacturer#1            | j3rg1zJVK,QDlC0YLgzqmmB7y                | 16-989-502-8470 | s the slyly even deposits use according to the slyly regular asymptotes: instructio
   9997.97 | Supplier#000237396        | FRANCE                    |   3237395 | Manufacturer#4            | 8ISK9AwEdVo5                             | 16-450-280-7386 | s are carefully around the blithely silent platelets; blithely regul
   9997.89 | Supplier#000319666        | RUSSIA                    |  15069650 | Manufacturer#4            | SZtdx3rzXnFuiVuJzKathV9                  | 32-972-151-6038 | furiously ironic pearls. furiously regular foxes along the furiously
   9997.83 | Supplier#000348318        | FRANCE                    |  13098304 | Manufacturer#1            | AvfnvjCFAg1aNpj                          | 16-718-707-5676 | e pending requests: furiously even deposits boost furiously slyly even requests. 
   9997.35 | Supplier#000863869        | ROMANIA                   |  19363830 | Manufacturer#4            | NSVrFXWb1axnAAYSi0                       | 29-598-659-1619 | s? carefully regular dependencies are carefully bold deposits. quickly unusual packages haggle qu
   9997.06 | Supplier#000725417        | GERMANY                   |   8475408 | Manufacturer#1            | 10iRwq3,LeyTjZx8G                        | 17-577-582-2010 | arefully dogged accounts. final, pending asymptote
   9996.45 | Supplier#000392828        | GERMANY                   |   9142818 | Manufacturer#1            | UCnp5xMFa9ktIBgYdGG                      | 17-965-114-2999 | ithely furiously unusual deposits. quickly ste
   9995.96 | Supplier#000629520        | FRANCE                    |  10129499 | Manufacturer#4            | kjmenylD2Ut5JJxh1n8P1,cl,XqR             | 16-785-547-3814 | foxes detect blithely. even, ironic courts a
   9995.79 | Supplier#000998425        | FRANCE                    |  16248376 | Manufacturer#2            | tjoKE1Srnp3l9lpwSP40nMonOOM7F2fa         | 16-228-926-9937 | ding foxes haggle fluffily. carefully ironic ideas 
